the_geom,cartodb_id,id,geographic_area_name,total
,257,1500000US421010079003,"Block Group 3, Census Tract 79, Philadelphia County, Pennsylvania",1152
,258,1500000US421010079004,"Block Group 4, Census Tract 79, Philadelphia County, Pennsylvania",1088
,259,1500000US421010080001,"Block Group 1, Census Tract 80, Philadelphia County, Pennsylvania",1025
,260,1500000US421010080002,"Block Group 2, Census Tract 80, Philadelphia County, Pennsylvania",930
,261,1500000US421010080003,"Block Group 3, Census Tract 80, Philadelphia County, Pennsylvania",762
,262,1500000US421010080004,"Block Group 4, Census Tract 80, Philadelphia County, Pennsylvania",1234
,263,1500000US421010081011,"Block Group 1, Census Tract 81.01, Philadelphia County, Pennsylvania",1066
,264,1500000US421010081012,"Block Group 2, Census Tract 81.01, Philadelphia County, Pennsylvania",1123
,265,1500000US421010081013,"Block Group 3, Census Tract 81.01, Philadelphia County, Pennsylvania",569
,266,1500000US421010081021,"Block Group 1, Census Tract 81.02, Philadelphia County, Pennsylvania",844
,267,1500000US421010081022,"Block Group 2, Census Tract 81.02, Philadelphia County, Pennsylvania",933
,268,1500000US421010081023,"Block Group 3, Census Tract 81.02, Philadelphia County, Pennsylvania",832
,269,1500000US421010081024,"Block Group 4, Census Tract 81.02, Philadelphia County, Pennsylvania",1584
,270,1500000US421010081025,"Block Group 5, Census Tract 81.02, Philadelphia County, Pennsylvania",835
,271,1500000US421010082001,"Block Group 1, Census Tract 82, Philadelphia County, Pennsylvania",1054
,272,1500000US421010082002,"Block Group 2, Census Tract 82, Philadelphia County, Pennsylvania",1043
,273,1500000US421010082003,"Block Group 3, Census Tract 82, Philadelphia County, Pennsylvania",1013
,274,1500000US421010082004,"Block Group 4, Census Tract 82, Philadelphia County, Pennsylvania",807
,275,1500000US421010082005,"Block Group 5, Census Tract 82, Philadelphia County, Pennsylvania",646
,276,1500000US421010082006,"Block Group 6, Census Tract 82, Philadelphia County, Pennsylvania",1357
,277,1500000US421010082007,"Block Group 7, Census Tract 82, Philadelphia County, Pennsylvania",877
,278,1500000US421010083011,"Block Group 1, Census Tract 83.01, Philadelphia County, Pennsylvania",1072
,279,1500000US421010083012,"Block Group 2, Census Tract 83.01, Philadelphia County, Pennsylvania",1791
,280,1500000US421010083013,"Block Group 3, Census Tract 83.01, Philadelphia County, Pennsylvania",1218
,281,1500000US421010083021,"Block Group 1, Census Tract 83.02, Philadelphia County, Pennsylvania",917
,282,1500000US421010083022,"Block Group 2, Census Tract 83.02, Philadelphia County, Pennsylvania",1478
,283,1500000US421010083023,"Block Group 3, Census Tract 83.02, Philadelphia County, Pennsylvania",904
,284,1500000US421010083024,"Block Group 4, Census Tract 83.02, Philadelphia County, Pennsylvania",1008
,285,1500000US421010084001,"Block Group 1, Census Tract 84, Philadelphia County, Pennsylvania",1019
,286,1500000US421010084002,"Block Group 2, Census Tract 84, Philadelphia County, Pennsylvania",788
,287,1500000US421010084003,"Block Group 3, Census Tract 84, Philadelphia County, Pennsylvania",686
,288,1500000US421010084004,"Block Group 4, Census Tract 84, Philadelphia County, Pennsylvania",717
,289,1500000US421010084005,"Block Group 5, Census Tract 84, Philadelphia County, Pennsylvania",644
,290,1500000US421010084006,"Block Group 6, Census Tract 84, Philadelphia County, Pennsylvania",634
,291,1500000US421010085001,"Block Group 1, Census Tract 85, Philadelphia County, Pennsylvania",713
,292,1500000US421010085002,"Block Group 2, Census Tract 85, Philadelphia County, Pennsylvania",771
